description,directors,last_updated,link,name,number,prereq,website
"Theory of reinforcement learning, with a focus on sample complexity analyses. Specific topics include MDP basics, finite-sample analyses of online (i.e., exploration) and offline (i.e., batch) RL with a tabular representation, finite-sample analyses of online and offline RL with function approximation, state abstraction theory, off-policy evaluation (importance sampling), and policy gradient. The course goal is to provide a comprehensive understanding of the statistical properties of RL under various settings (e.g., online vs offline), preparing the students for doing research in the area. Course Information: 4 graduate hours. No professional credit. Prerequisite: Calculus, linear algebra, probability and statistics, and basic concepts of machine learning. Familiarity with (at least one of) the following topics is highly recommended: stochastic processes, numerical analysis, and theoretical computer science.",[{'Nan   Jiang': 'https://cs.illinois.edu/about/people/all-faculty/nanjiang'}],,https://cs.illinois.edu/academics/courses/CS542,Stat Reinforcement Learning,CS 542,,http://nanjiang.cs.illinois.edu/cs542/
Course Information: Same as ECE 549. See ECE 549.,[{}],,https://cs.illinois.edu/academics/courses/CS543,Computer Vision,CS 543,,http://slazebni.cs.illinois.edu/fall21
Course Information: Same as ECE 541. See ECE 541.,[{}],,https://cs.illinois.edu/academics/courses/CS541,Computer Systems Analysis,CS 541,,
"A rigorous mathematical course covering foundational analyses of the approximation, optimization, and generalization properties of Deep Neural Networks. Topics include: constructive and non-constructive approximations with one hidden layer; benefits of depth; optimization in the NTK regime; maximum margin optimization outside the NTK regime; Rademacher complexity, VC dimensino, and covering number bounds for ReLU networks. Evaluation is primarily based on homeworks, with a smaller project component. The course goal is to prepare students perform their own research in the field. Course Information: 4 graduate hours. No professional credit. Prerequisite: Basic linear algebra, probability, proof-writing, and statistics required. Real analysis recommended.",[{'Matus Jan Telgarsky': 'https://cs.illinois.edu/about/people/all-faculty/mjt'}],,https://cs.illinois.edu/academics/courses/CS540,Deep Learning Theory,CS 540,,https://mjt.cs.illinois.edu/courses/dlt-f21/
"Advanced concepts in computer networks, including congestion control, quality of service, naming, routing, wireless networks, Internet architecture, measurement, network security, and selected recent research directions. Course Information: Prerequisite: CS 438.",[{}],,https://cs.illinois.edu/academics/courses/CS538,Advanced Computer Networks,CS 538,,https://courses.engr.illinois.edu/cs538
"Advanced topics in Internet of Things (IoT) algorithms, protocols, architectures, systems, and infrastructures, selected from areas of current research such as: IoT sensors representations and compression, streaming and caching of IoT data, IoT analytics and feature learning, IoT-edge-cloud computing infrastructures, resource optimization for multi-modal IoT systems, applications and human perception of IoT. Students will read and discuss recent research papers and conduct a semester-long research project. Course Information: 4 graduate hours. No professional credit. May be repeated, if topics vary. Credit towards a degree from multiple offerings of this course is not given if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 425, CS 438. Additional prerequisites may be specified each term. See section information.","[{'Tarek   Abdelzaher': 'https://cs.illinois.edu/about/people/all-faculty/zaher', 'Klara   Nahrstedt': 'https://cs.illinois.edu/about/people/all-faculty/klara'}]",,https://cs.illinois.edu/academics/courses/CS537,Advanced Topics in IoT,CS 537,,https://courses.grainger.illinois.edu/cs537/fa2021/index.html
Course Information: Same as ECE 542. See ECE 542.,[{}],,https://cs.illinois.edu/academics/courses/CS536,Fault-Tolerant Dig Syst Design,CS 536,,
Theoretical aspects of parallel and pipeline computation; time and processor bounds on classes of computations; data alignment network speed and cost bounds; conflict-free access memories; overall computer system ideas. Course Information: Same as CSE 522. Prerequisite: CS 433.,[{}],,https://cs.illinois.edu/academics/courses/CS533,Parallel Computer Architecture,CS 533,,https://courses.grainger.illinois.edu/cs533/
"Current topics in computer architecture, selected from areas of current research such as: energy efficiency, processing in memory, cloud computing, 3-D architectures, security and privacy, hardware and software resiliency, cross-stack design, heterogeneous platforms, approximate computing, mobile computing, machine learning accelerators, and novel computing technologies. Course Information: 4 graduate hours. No professional credit. May be repeated, if topics vary. Credit is not given towards a degree from multiple offerings of this course, if those offerings have significant overlap, as determined by the CS department. Prerequisite: CS 433. Additional prerequisites or co-requisites may be specified each term. See Class Schedule information.","[{'Sarita V Adve': 'https://cs.illinois.edu/about/people/all-faculty/sadve', 'Josep   Torrellas': 'https://cs.illinois.edu/about/people/all-faculty/torrella'}]",,https://cs.illinois.edu/academics/courses/CS534,Adv Topics in Comp Arch,CS 534,,
"Principles of object-oriented design; design patterns; use and design of frameworks; reflection, refractoring, use of unit tests as specifications. Course Information: Prerequisite: CS 427.",[{}],,https://cs.illinois.edu/academics/courses/CS528,Obj-Oriented Progrmg & Design,CS 528,,
"Fault-tolerant software, software architecture, software patterns, multi-media software, and knowledge-based approaches to software engineering. Case studies. Course Information: Prerequisite: CS 428 or CS 429.",[{}],,https://cs.illinois.edu/academics/courses/CS527,Topics in Software Engineering,CS 527,,https://wiki.illinois.edu/wiki/display/CS527FA21
"Incremental and interactive compiling, error correction, code optimization, models of code generators. Course Information: Prerequisite: CS 426.",[{}],,https://cs.illinois.edu/academics/courses/CS526,Advanced Compiler Construction,CS 526,,http://misailo.cs.illinois.edu/courses/526/
"Peer-to-peer systems, sensor networks, and fundamental theoretical distributed computing. Review of classical work in each area, and application of design methodologies to explore overlaps across them. Emphasis on protocol design, systems issues, and theory. Reading selections are roughly two-third classical to one-third contemporary. Students write critiques, make presentations, and create a conference paper in a systematic manner. Course Information: Prerequisite: One of CS 423, CS 425, CS 438.",[{}],,https://cs.illinois.edu/academics/courses/CS525,Advanced Distributed Systems,CS 525,,https://courses.grainger.illinois.edu/cs525/
"Theory of concurrency and concurrent programming languages. Formal models of concurrent computation such as process algebras, nets, and actors; high level concurrent programming languages and their operational semantics; methods for reasoning about correctness and complexity of concurrent programs. Course Information: Prerequisite: CS 422; CS 475 or CS 476.",[{}],,https://cs.illinois.edu/academics/courses/CS524,Concurrent Progrmg Languages,CS 524,,
"Advanced concepts in operating system design and coverage of recent research directions. Resource management for parallel and distributed systems. Interaction between operating system design and computer architectures. Process management, virtual memory, interprocess communication, context switching, parallel and distributed file system designs, persistent objects, process and data migration, load balancing, security, protection. Term projects. Course Information: Prerequisite: CS 423, CS 425, and CS 433.",[{}],,https://cs.illinois.edu/academics/courses/CS523,Advanced Operating Systems,CS 523,,
,[{}],,https://cs.illinois.edu/academics/courses/CS521,Adv Topics in Pgm Systems,CS 521,,
"Theory of programming languages including functional programming, meta-circular interpreters, typed, untyped and polymorphic lambda-calculi, and denotational semantics. Course Information: Prerequisite: CS 422 and CS 426.",[{}],,https://cs.illinois.edu/academics/courses/CS522,Programming Language Semantics,CS 522,,
"Visualization techniques useful in analysis of engineering and scientific data. Physical models; methods of computational science; two- and three-dimensional data types; visual representation schemes for scalar, vector, and tensor data; isosurface and volume visualization methods; visual monitoring; interactive steering. Course Information: Same as CSE 527. Prerequisite: CS 418.",[{}],,https://cs.illinois.edu/academics/courses/CS519,Scientific Visualization,CS 519,,https://www.coursera.org/
Course Information: Same as IS 537. See IS 537.,[{}],,https://cs.illinois.edu/academics/courses/CS513,School Library Management,CS 513,,
"An advanced course on principles and algorithms of data mining. Data cleaning and integration; descriptive and predictive mining; mining frequent, sequential, and structured patterns; clustering, outlier analysis and fraud detection; stream data, web, text, and biomedical data mining; security and privacy in data mining; research frontiers. Course Information: Prerequisite: CS 412.",[{}],,https://cs.illinois.edu/academics/courses/CS512,Data Mining Principles,CS 512,,http://tonghanghang.org/course/cs512s21/cs512s2021.html
"Advanced concepts, models, and algorithms in information retrieval and major recent developments in the field, including historical milestones in information retrieval research, evaluation methodology, vector space retrieval model, probabilistic retrieval models, learning to rank algorithms, probabilistic topic models, information retrieval systems, text analytics, and topics of research frontiers in information retrieval. Course Information: 4 graduate hours. No professional credit. Prerequisite: One of CS 410, CS 412, CS 446 or LING 406.",[{}],,https://cs.illinois.edu/academics/courses/CS510,Advanced Information Retrieval,CS 510,,https://courses.grainger.illinois.edu/cs510/
"Advanced concepts in data management and information system design and implementation, and recent developments in the field. 1) Relational roots, objects and extensibility, query languages, data indexing, query processing, transaction processing, benchmarks, and 2) semi-structured data and unstructured data, information extraction, information integration, web search and mining, and other emerging directions in the field. Course Information: Prerequisite: CS 411.",[{}],,https://cs.illinois.edu/academics/courses/CS511,Advanced Data Management,CS 511,,
Course Information: Same as ECE 508. See ECE 508.,[{}],,https://cs.illinois.edu/academics/courses/CS508,Manycore Parallel Algorithms,CS 508,,http://lumetta.web.engr.illinois.edu/508/
,[{}],,https://cs.illinois.edu/academics/courses/CS500,Topics in Comp Ed Rsrch,CS 500,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498WN3,Special Topics,CS 498 WN3,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498WN4,Special Topics,CS 498 WN4,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498VR4,Special Topics,CS 498 VR4,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{'Eric Gene Shaffer': 'https://cs.illinois.edu/about/people/all-faculty/shaffer1'}],2/16/2019by Eric Gene Shaffer,https://cs.illinois.edu/academics/courses/CS498VR3,Special Topics,CS 498 VR3,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498TO2,Special Topics,CS 498 TO2,,https://sarielhp.org/teach/20/b_sp21/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498TO1,Special Topics,CS 498 TO1,,https://sarielhp.org/teach/20/b_sp21/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498TC3,Special Topics,CS 498 TC3,,http://jeffe.cs.illinois.edu/teaching/compgeom/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498TC4,Special Topics,CS 498 TC4,,http://jeffe.cs.illinois.edu/teaching/compgeom/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498SM,Special Topics,CS 498 SM,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498ST,Special Topics,CS 498 ST,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],8/25/2015,https://cs.illinois.edu/academics/courses/CS498SL4,Special Topics,CS 498 SL4,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],8/25/2015,https://cs.illinois.edu/academics/courses/CS498SL3,Special Topics,CS 498 SL3,,
,[{}],,https://cs.illinois.edu/academics/courses/CS498SCG,Special Topics,CS 498 SCG,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498RL2,Special Topics,CS 498 RL2,,http://nanjiang.cs.illinois.edu/cs498/
,[{}],,https://cs.illinois.edu/academics/courses/CS498SCU,Special Topics,CS 498 SCU,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498RL1,Special Topics,CS 498 RL1,,http://nanjiang.cs.illinois.edu/cs498/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498RK4,Special Topics,CS 498 RK4,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498RK3,Special Topics,CS 498 RK3,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498RK2,Special Topics,CS 498 RK2,,https://uiuc-web-programming.gitlab.io/fa21/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{'Ranjitha   Kumar': 'https://cs.illinois.edu/about/people/all-faculty/ranjitha'}],,https://cs.illinois.edu/academics/courses/CS498RK1,Special Topics,CS 498 RK1,,https://uiuc-web-programming.gitlab.io/fa21/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498RC4,Special Topics,CS 498 RC4,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498RC3,Special Topics,CS 498 RC3,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498RC1,Special Topics,CS 498 RC1,,https://canvas.illinois.edu/courses/14575
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498RC2,Special Topics,CS 498 RC2,,https://canvas.illinois.edu/courses/14575
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498PS4,Special Topics,CS 498 PS4,,https://courses.grainger.illinois.edu/cs498ps3/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498PS3,Special Topics,CS 498 PS3,,https://courses.grainger.illinois.edu/cs498ps3/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],8/25/2015,https://cs.illinois.edu/academics/courses/CS498OSP,Special Topics,CS 498 OSP,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],8/25/2015,https://cs.illinois.edu/academics/courses/CS498MP3,Special Topics,CS 498 MP3,,
,[{}],,https://cs.illinois.edu/academics/courses/CS498MP2,Special Topics,CS 498 MP2,,
,[{}],,https://cs.illinois.edu/academics/courses/CS498MP1,Special Topics,CS 498 MP1,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498MID,Special Topics,CS 498 MID,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498MG4,Special Topics,CS 498 MG4,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498MG3,Special Topics,CS 498 MG3,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498ME2,Special Topics,CS 498 ME2,,https://courses.grainger.illinois.edu/cs498me1/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498ME1,Special Topics,CS 498 ME1,,https://courses.grainger.illinois.edu/cs498me1/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498MA4,Special Topics,CS 498 MA4,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498MD,Special Topics,CS 498 MD,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498LB2,Special Topics,CS 498 LB2,,https://aisecure.github.io/TEACHING/cs498.html
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498LB1,Special Topics,CS 498 LB1,,https://aisecure.github.io/TEACHING/cs498.html
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498ITO,Special Topics,CS 498 ITO,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498ITF,Special Topics,CS 498 ITF,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498IT4,Special Topics,CS 498 IT4,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498ISE,Special Topics,CS 498 ISE,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498IT3,Special Topics,CS 498 IT3,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498IR2,Special Topics,CS 498 IR2,,http://cs498ir2021.web.illinois.edu/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498IR1,Special Topics,CS 498 IR1,,http://cs498ir2021.web.illinois.edu/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],8/25/2015,https://cs.illinois.edu/academics/courses/CS498IDS,Special Topics,CS 498 IDS,,
,[{}],,https://cs.illinois.edu/academics/courses/CS498HCI,Special Topics,CS 498 HCI,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],8/25/2015,https://cs.illinois.edu/academics/courses/CS498GFD,Special Topics,CS 498 GFD,,
,[{}],,https://cs.illinois.edu/academics/courses/CS498GDU,Special Topics,CS 498 GDU,,
,[{}],,https://cs.illinois.edu/academics/courses/CS498GDG,Special Topics,CS 498 GDG,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498GD2,Special Topics,CS 498 GD2,,https://illinois-cs498gd.github.io/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498GD1,Special Topics,CS 498 GD1,,https://illinois-cs498gd.github.io/
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498GC2,Special Topics,CS 498 GC2,,http://www.daslab.illinois.edu/coursesfall2021.html#abe424
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498GC1,Special Topics,CS 498 GC1,,http://www.daslab.illinois.edu/coursesfall2021.html#abe424
,[{}],,https://cs.illinois.edu/academics/courses/CS498GA4,Special Topics,CS 498 GA4,,
,[{}],,https://cs.illinois.edu/academics/courses/CS498GA3,Special Topics,CS 498 GA3,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498GA,Special Topics,CS 498 GA,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498FU4,Special Topics,CS 498 FU4,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498FU3,Special Topics,CS 498 FU3,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498FOA,Special Topics,CS 498 FOA,,https://compass2g.illinois.edu/webapps/blackboard/content/listContentEditable.jsp?content_id=_5048011_1&course_id=_55991_1
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498FCS,Special Topics,CS 498 FCS,,https://compass2g.illinois.edu/webapps/blackboard/content/listContentEditable.jsp?content_id=_5137083_1&course_id=_57064_1
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498ES,Special Topics,CS 498 ES,,
Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. Course Information: 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,[{}],,https://cs.illinois.edu/academics/courses/CS498DV2,Special Topics,CS 498 DV2,,https://courses.grainger.illinois.edu/cs498dv1/fa2021/index.html
