description,link,name,number,prerequisites,profs,text_profs,type,units,websites
" The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen. ",https://www2.eecs.berkeley.edu/Courses/CS24_4072,Designing Information Devices and Systems II,CS 24,,"[{'Anant\xa0Sahai': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/sahai.html', 'Vladimir\xa0Marko\xa0Stojanovic,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/vlada.html'}]","Alicia Matsumoto,Divija Hasteer,Eric Yang,Maxwell Chen,Priyans Desai,Sravya Basvapatri",LEC, 1.0,http://inst.eecs.berkeley.edu/~cs24
" This course is a follow-on to EECS 16A, and focuses on the fundamentals of designing and building modern information devices and systems that interface with the real world. The course sequence provides a comprehensive introduction to core EECS topics in machine learning, circuit design, control, and signal processing while developing key linear-algebraic concepts motivated by application contexts. Modeling is emphasized in a way that deepens mathematical maturity, and in both labs and homework, students will engage computationally, physically, and visually with the concepts being introduced in addition to traditional paper exercises. The courses are aimed at entering students as well as non-majors seeking a broad introduction to the field.",https://www2.eecs.berkeley.edu/Courses/EECS16B,Designing Information Devices and Systems I,EECS 16B, EECS 16A,"[{'Ana\xa0Arias': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/acarias.html', 'Michael\xa0Lustig': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/mlustig.html'}]","Dahlia Saba,Dixun Cui,Raghav Gupta,Vidish Gupta",LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs16b
" This course and its follow-on course EECS16B focus on the fundamentals of designing modern information devices and systems that interface with the real world. Together, this course sequence provides a comprehensive foundation for core EECS topics in signal processing, learning, control, and circuit design while introducing key linear-algebraic concepts motivated by application contexts. Modeling is emphasized in a way that deepens mathematical maturity, and in both labs and homework, students will engage computationally, physically, and visually with the concepts being introduced in addition to traditional paper/pencil exercises. The courses are aimed at entering students as well as non-majors seeking a broad foundation for the field.",https://www2.eecs.berkeley.edu/Courses/EECS16A,The Beauty and Joy of Computing,EECS 16A, MATH 1A and MATH 1B (1B may be taken concurrently); COMPSCI 61A (encouraged to be taken concurrently).,[{'Prof.\xa0Josh\xa0Hug': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/joshhug.html'}],Kellyann Ye,LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs16a
" An introductory course for students with minimal prior exposure to computer science. Prepares students for future computer science courses and empowers them to utilize programming to solve problems in their field of study. Presents an overview of the history, great principles, and transformative applications of computer science, as well as a comprehensive introduction to programming. Topics include abstraction, recursion, algorithmic complexity, higher-order functions, concurrency, social implications of computing (privacy, education, algorithmic bias), and engaging research areas (data science, AI, HCI). Students will program in Snap! (a friendly graphical language) and Python, and will design and implement two projects of their choice.",https://www2.eecs.berkeley.edu/Courses/CS10,Foundations of Data Science,CS 10,,[{'David\xa0Wagner': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/wagner.html'}],Ani ADHIKARI,LEC, 4.0,http://inst.eecs.berkeley.edu/~cs10
" This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization. ",https://www2.eecs.berkeley.edu/Courses/EECS127,Probability and Random Processes,EECS 127," EECS 16A and EECS 16B, or consent of instructor.",[{'Shyam\xa0Parekh': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/shyam.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs127
" Discussion and practice of techniques for effective teaching, focusing on issues most relevant to teaching assistants in computer science courses. ",https://www2.eecs.berkeley.edu/Courses/CS375,Adaptive Instruction Methods in Computer Science,CS 375, Consent of instructor. ,[{'Christopher\xa0Hunn': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/cthunn.html'}],Kyle Kishimoto,LEC, 2.0,http://inst.eecs.berkeley.edu/~cs375
" Discussion of effective teaching techniques. Use of educational objectives, alternative forms of instruction, and proven techniques to enhance student learning. This course is intended to orient new student instructors to more effectively teach courses offered by the Department of Electrical Engineering and Computer Sciences at UC Berkeley.",https://www2.eecs.berkeley.edu/Courses/EE375,Population Games,EE 375, Teaching assistant or graduate student,[{'Murat\xa0Arcak': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/arcak.html'}],,LEC, 2.0,http://inst.eecs.berkeley.edu/~ee375
 Investigation of problems in electrical engineering. ,https://www2.eecs.berkeley.edu/Courses/EE299,Introduction to Quantum Devices,EE 299,,[{'Alp\xa0Sipahigil': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/alp.html'}],,LEC, 1-12,http://inst.eecs.berkeley.edu/~ee299
 The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester. ,https://www2.eecs.berkeley.edu/Courses/EE290_4188,21st Century Power System Dynamics,EE 290, Consent of instructor. ,[{'Duncan\xa0Callaway': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/dcal.html'}],,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~ee290
 The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester. ,https://www2.eecs.berkeley.edu/Courses/EE290_4525,Medical Imaging Signals and Systems,EE 290, Consent of instructor. ,[{'Steven\xa0Conolly': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/sconolly.html'}],,LEC, 1.0-4.0,http://inst.eecs.berkeley.edu/~ee290
 The 290 courses cover current topics of research interest in electrical engineering. The course content may vary from semester to semester. ,https://www2.eecs.berkeley.edu/Courses/EE290_3429,Introduction to Digital Design and Integrated Circuits Lab,EE 290, Consent of instructor. ,[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 1.0-4.0,http://inst.eecs.berkeley.edu/~ee290
" Biomedical imaging is a clinically important application of engineering, applied mathematics, physics, and medicine. In this course, we apply linear systems theory and basic physics to analyze X-ray imaging, computerized tomography, nuclear medicine, and MRI. We cover the basic physics and instrumentation that characterizes medical image as an ideal perfect-resolution image blurred by an impulse response. This material could prepare the student for a career in designing new medical imaging systems that reliably detect small tumors or infarcts. ",https://www2.eecs.berkeley.edu/Courses/EEC261,Introduction to Digital Design and Integrated Circuits Lab,EE C261," Undergraduate level course work covering integral and differential calculus, two classes in engineering-level physics, introductory level linear algebra, introductory level statistics, at least 1 course in LTI system theory including (analog convolution, Fourier transforms, and Nyquist sampling theory). The recommended undergrad course prerequisites are introductory level skills in Python or Matlab and either EECS 16A, EECS 16B and EL ENG 120, or MATH 54, BIO ENG 101, and BIO ENG 105.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 4.0,http://inst.eecs.berkeley.edu/~ee261
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full 3-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS251LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 251LB," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs251lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full 3-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS251LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 251LB," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs251lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full 3-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS251LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 251LB," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs251lb
" This lab covers the design of modern digital systems with Field-Programmable Gate Array (FPGA) platforms.  A series of lab exercises provide the background and practice of digital design using a modern FPGA design tool flow.  Digital synthesis, partitioning, placement, routing, and simulation tools for FPGAs are covered in detail.  The labs exercises culminate with a large design project, e.g., an implementation of a full 3-stage RISC-V processor system, with caches, graphics acceleration, and external peripheral components.  The design is mapped and demonstrated on an FPGA hardware platform.",https://www2.eecs.berkeley.edu/Courses/EECS251LB,Introduction to Digital Design and Integrated Circuits Lab,EECS 251LB," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs251lb
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g. implementation of a 3-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS251LA,Introduction to Digital Design and Integrated Circuits Lab,EECS 251LA," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LAB, 2.0,http://inst.eecs.berkeley.edu/~eecs251la
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g. implementation of a 3-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS251LA,Introduction to Digital Design and Integrated Circuits,EECS 251LA," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Borivoje\xa0NIKOLIC': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/nikolic.html'}],,LEC, 2.0,http://inst.eecs.berkeley.edu/~eecs251la
" This lab lays the foundation of modern digital design by first presenting the scripting and hardware description language base for specification of digital systems and interactions with tool flows. The labs are centered on a large design with the focus on rapid design space exploration. The lab exercises culminate with a project design, e.g. implementation of a 3-stage RISC-V processor with a register file and caches. The design is mapped to simulation and layout specification.",https://www2.eecs.berkeley.edu/Courses/EECS251LA,Introduction to Embedded Systems,EECS 251LA," EECS 16A, EECS 16B, and COMPSCI 61C; and EL ENG 105 is recommended.",[{'Sanjit\xa0A.\xa0Seshia': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/seshia.html'}],,LEC, 2.0,http://inst.eecs.berkeley.edu/~eecs251la
" An introduction to digital circuit and system design. The material provides a top-down view of the principles, components, and methodologies for large scale digital system design. The underlying CMOS devices and manufacturing technologies are introduced, but quickly abstracted to higher levels to focus the class on design of larger digital modules for both FPGAs (field programmable gate arrays) and ASICs (application specific integrated circuits). The class includes extensive use of industrial grade design automation and verification tools for assignments, labs, and projects.",https://www2.eecs.berkeley.edu/Courses/EECS251A,Introduction to Microelectromechanical Systems (MEMS),EECS 251A, EECS 16A and EECS 16B; COMPSCI 61C; and recommended: EL ENG 105. Students must enroll concurrently in at least one the laboratory flavors EECS 251LA or EECS 251LB. Students wishing to take a second laboratory flavor next term can sign-up only for that laboratory section and receive a letter grade. The prerequisite for “Lab-only” enrollment that term will be EECS 251A from previous terms.,"[{'Prof.\xa0Kristofer\xa0PISTER,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/pister.html'}]",,LEC, 3.0,http://inst.eecs.berkeley.edu/~eecs251a
" This course introduces students to the basics of models, analysis tools, and control for embedded systems operating in real time. Students learn how to combine physical processes with computation. Topics include models of computation, control, analysis and verification, interfacing with the physical world, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence of projects. ",https://www2.eecs.berkeley.edu/Courses/EEC249A,Analog Integrated Circuits,EE C249A,,[{'Rikky\xa0Muller': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/rikky.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee249a
" This course will teach fundamentals of micromachining and microfabrication techniques, including planar thin-film process technologies, photolithographic techniques, deposition and etching techniques, and the other technologies that are central to MEMS fabrication. It will pay special attention to teaching of fundamentals necessary for the design and analysis of devices and systems in mechanical, electrical, fluidic, and thermal energy/signal domains, and will teach basic techniques for multi-domain analysis. Fundamentals of sensing and transduction mechanisms including capacitive and piezoresistive techniques, and design and analysis of micmicromachined miniature sensors and actuators using these techniques will be covered.",https://www2.eecs.berkeley.edu/Courses/EE247A,Integrated-Circuit Devices,EE 247A, EECS 16A and EECS 16B; or consent of instructor required.,[{'Ali\xa0Javey': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/javey.html'}],,LEC, 3.0,http://inst.eecs.berkeley.edu/~ee247a
" Single and multiple stage transistor amplifiers. Operational amplifiers. Feedback amplifiers, 2-port formulation, source, load, and feedback network loading. Frequency response of cascaded amplifiers, gain-bandwidth exchange, compensation, dominant pole techniques, root locus. Supply and temperature independent biasing and references. Selected applications of analog circuits such as analog-to-digital converters, switched capacitor filters, and comparators. Hardware laboratory and design project. ",https://www2.eecs.berkeley.edu/Courses/EE240A,Information Theory and Coding,EE 240A, EL ENG 105,[{'Venkatachalam\xa0ANANTHARAM': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/anantharam.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee240a
" Overview of electronic properties of semiconductors. Metal-semiconductor contacts, pn junctions, bipolar transistors, and MOS field-effect transistors. Properties that are significant to device operation for integrated circuits. Silicon device fabrication technology. ",https://www2.eecs.berkeley.edu/Courses/EE230A,Convex Optimization,EE 230A, 40 or 100. ,"[{'Laurent\xa0El\xa0Ghaoui': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/elghaoui.html', 'Somayeh\xa0Sojoudi': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/sojoudi.html'}]",,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee230a
" Convex optimization is a class of nonlinear optimization problems where the objective to be minimized, and the constraints, are both convex.   The course covers some convex optimization theory and algorithms, and describes various applications arising in engineering design, machine learning and statistics, finance, and operations research. The course includes laboratory assignments, which consist of hands-on experiments with the optimization software CVX, and a discussion section.",https://www2.eecs.berkeley.edu/Courses/EE227BT,Optimization Models in Engineering,EE 227BT, MATH 54 and STAT 2.,[{'Laurent\xa0El\xa0Ghaoui': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/elghaoui.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee227bt
" This course offers an introduction to optimization models and their applications, ranging from machine learning and statistics to decision-making and control, with emphasis on numerically tractable problems, such as linear or constrained least-squares optimization. ",https://www2.eecs.berkeley.edu/Courses/EECS227AT,Random Processes in Systems,EECS 227AT, MATH 54 or consent of instructor.,[{'Thomas\xa0Courtade': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/courtade.html'}],,LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs227at
" Probability, random variables and their convergence, random processes. Filtering of wide sense stationary processes, spectral density, Wiener and Kalman filters. Markov processes and Markov chains. Gaussian, birth and death, poisson and shot noise processes. Elementary queueing analysis. Detection of signals in Gaussian and shot noise, elementary parameter estimation. ",https://www2.eecs.berkeley.edu/Courses/EE226A,Audio Signal Processing in Humans and Machines,EE 226A, EL ENG 120 and STAT 200A.,[{'Gopala\xa0Krishna\xa0Anumanchipalli': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/gopala.html'}],Gasper Begus,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee226a
" Introduction to relevant signal processing and basics of pattern recognition. Introduction to coding, synthesis, and recognition. Models of speech and music production and perception. Signal processing for speech analysis. Pitch perception and auditory spectral analysis with applications to speech and music. Vocoders and music synthesizers. Statistical speech recognition, including introduction to Hidden Markov Model and Neural Network approaches. ",https://www2.eecs.berkeley.edu/Courses/EE225D,Statistical Signal Processing,EE 225D, EL ENG 123 and STAT 200A; or graduate standing and consent of instructor.,[{'Jiantao\xa0JIAO': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/jiantao.html'}],,LEC, 3.0,http://inst.eecs.berkeley.edu/~ee225d
" This course connects classical statistical signal processing (Hilbert space filtering theory by Wiener and Kolmogorov, state space model, signal representation, detection and estimation, adaptive filtering) with modern statistical and machine learning theory and applications. It focuses on concrete algorithms and combines principled theoretical thinking with real applications.",https://www2.eecs.berkeley.edu/Courses/EECS225A,Linear System Theory,EECS 225A, EL ENG 120 and EECS 126.,"[{'Prof.\xa0S.\xa0Shankar\xa0SASTRY,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/sastry.html'}]",Chih-Yuan Chiu,LEC, 3.0,http://inst.eecs.berkeley.edu/~eecs225a
" Basic system concepts; state-space and I/O representation. Properties of linear systems. Controllability, observability, minimality, state and output-feedback. Stability. Observers. Characteristic polynomial. Nyquist test. ",https://www2.eecs.berkeley.edu/Courses/EE221A,Experiential Advanced Control Design I,EE 221A, EL ENG 120; and MATH 110 recommended.,[{}],Francesco Borrelli,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee221a
" Experience-based learning in the design of SISO and MIMO feedback controllers for linear systems. The student will master skills needed to apply linear control design and analysis tools to classical and modern control problems. In particular, the participant will be exposed to and develop expertise in two key control design technologies: frequency-domain control synthesis and time-domain optimization-based approach. ",https://www2.eecs.berkeley.edu/Courses/EEC220B,Advanced Control Systems I,EE C220B,,[{}],Masayoshi TOMIZUKA,LEC, 3.0,http://inst.eecs.berkeley.edu/~ee220b
" Input-output and state space representation of linear continuous and discrete time dynamic systems. Controllability, observability, and stability. Modeling and identification. Design and analysis of single and multi-variable feedback control systems in transform and time domain. State observer. Feedforward/preview control. Application to engineering systems. ",https://www2.eecs.berkeley.edu/Courses/EEC220A,Introduction to Optical Engineering,EE C220A,,[{'Boubacar\xa0Kante': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/bkante.html'}],,LEC, 3.0,http://inst.eecs.berkeley.edu/~ee220a
" Fundamental principles of optical systems. Geometrical optics and aberration theory. Stops and apertures, prisms, and mirrors. Diffraction and interference. Optical materials and coatings. Radiometry and photometry. Basic optical devices and the human eye. The design of optical systems. Lasers, fiber optics, and holography. ",https://www2.eecs.berkeley.edu/Courses/EE218A,Power Electronics,EE 218A," MATH 53; EECS 16A and EECS 16B, or MATH 54.",[{}],Nathan Ellis,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee218a
" Power conversion circuits and techniques. Characterization and design of magnetic devices including transformers, inductors, and electromagnetic  actuators.  Characteristics of  power semiconductor devices, including power diodes, SCRs, MOSFETs, IGBTs, and emerging wide bandgap devices.  Applications to renewable energy systems, high-efficiency lighting, power management in mobile electronics, and electric machine drives.  Simulation based laboratory and design project.",https://www2.eecs.berkeley.edu/Courses/EE213A,Computational Principles for High-dimensional Data Analysis,EE 213A, EL ENG 105 or consent of instructor.,"[{'Jiantao\xa0JIAO': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/jiantao.html', 'Yi\xa0Ma,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/yima.html'}]",,LEC, 4.0,http://inst.eecs.berkeley.edu/~ee213a
" Introduction to fundamental geometric and statistical concepts and principles of low-dimensional models for high-dimensional signal and data analysis, spanning basic theory, efficient algorithms, and diverse real-world applications. Systematic study of both sampling complexity and computational complexity for sparse, low-rank, and low-dimensional models – including important cases such as matrix completion, robust principal component analysis, dictionary learning, and deep networks.",https://www2.eecs.berkeley.edu/Courses/EECS208,Introduction to Robotics,EECS 208," The following courses are recommended undergraduate linear algebra (Math 110), statistics (Stat 134), and probability (EE126). Back-ground in signal processing (ELENG 123), optimization (ELENG C227T), machine learning (CS189/289), and computer vision (COMPSCI C280) may allow you to appreciate better certain aspects of the course material, but not necessary all at once. The course is open to senior undergraduates, with consent from the instructor.","[{'Yi\xa0Ma,\xa0PhD': 'https://www2.eecs.berkeley.edu/Faculty/Homepages/yima.html'}]","Jaeyun Seo,Jay Monga,Josephine Koe,Koushil Sreenath",LEC, 4.0,http://inst.eecs.berkeley.edu/~eecs208
